Estado ,Municipio ,Colonia 
Puebla,Puebla,San Francisco
Puebla,Puebla,Centro
Puebla,Puebla,Santa María la Rivera
Puebla,Puebla,INFONAVIT Bosques 5 de Febrero
Puebla,Puebla,Residencial Santa María
Puebla,Puebla,Las Huertas
Puebla,Puebla,Santa Bárbara
Puebla,Puebla,San José los Cerritos
Puebla,Puebla,La Condesa
Puebla,Puebla,El Conde II
Puebla,Puebla,Polideportivo
Puebla,Puebla,Miravalle
Puebla,Puebla,Benito Juárez
Puebla,Puebla,INFONAVIT Fidel Velázquez
Puebla,Puebla,Nueva 13 de Abril
Puebla,Puebla,El Conde
Puebla,Puebla,Rosas del Tepeyac
Puebla,Puebla,San Pablo Xochimehuacan
Puebla,Puebla,Barranca Honda
Puebla,Puebla,Ignacio Mariscal
Puebla,Puebla,Guadalupe del Oro
Puebla,Puebla,La Candelaria
Puebla,Puebla,Real de Guadalupe
Puebla,Puebla,Nuevo Paraíso
Puebla,Puebla,Villas de Marques
Puebla,Puebla,INFONAVIT Villa Frontera
Puebla,Puebla,Villa Margarita Garcia
Puebla,Puebla,Guadalupe del Conde
Puebla,Puebla,Rancho Guadalupe
Puebla,Puebla,Villas San Gregorio
Puebla,Puebla,Seda Monsanto
Puebla,Puebla,San José el Conde
Puebla,Puebla,Villa Guadalupe
Puebla,Puebla,Solidaridad Nacional
Puebla,Puebla,Monte Alban
Puebla,Puebla,Jorge Murad Macluf
Puebla,Puebla,Emperatriz
Puebla,Puebla,Nueva España
Puebla,Puebla,Villas San José
Puebla,Puebla,Las Sonatas
Puebla,Puebla,Venustiano Carranza
Puebla,Puebla,Villas Diamante
Puebla,Puebla,Nueva San Salvador
Puebla,Puebla,México 83
Puebla,Puebla,Parque Industrial 5 de Mayo
Puebla,Puebla,Central de Abastos
Puebla,Puebla,San José Cuatro Caminos
Puebla,Puebla,San Rafael Oriente
Puebla,Puebla,San Jerónimo
Puebla,Puebla,Villas del Mesón I
Puebla,Puebla,Pino Suárez
Puebla,Puebla,Villas del Mesón II
Puebla,Puebla,Francisco Villa
Puebla,Puebla,El Riego Sur
Puebla,Puebla,Zona Cementos Atoyac
Puebla,Puebla,San Rafael Poniente
Puebla,Puebla,San Felipe Hueyotlipan
Puebla,Puebla,Aquiles Serdán
