"","Estado","Municipio","Colonia","id"
"1","PUEBLA","XICOTEPEC","DURAZNOTLA","PU.XI.DD"
"2","PUEBLA","XICOTEPEC","LOS PERALES","PU.XI.LL"
"3","PUEBLA","XICOTEPEC","CENTRO","PU.XI.CC"
"4","PUEBLA","XICOTEPEC","GANADERA","PU.XI.GG"
"5","PUEBLA","XICOTEPEC","AMPLIACION DURAZNOTLA","PU.XI.AA"
"6","PUEBLA","XICOTEPEC","BUENA VISTA PONIENTE","PU.XI.BB"
"7","PUEBLA","XICOTEPEC","RESIDENCIAL LOS ARCOS","PU.XI.RR"
"8","PUEBLA","XICOTEPEC","EDUARDO VILLALOBOS LUNA","PU.XI.EE"
"9","PUEBLA","XICOTEPEC","LOS ALPES","PU.XI.LO"
"10","PUEBLA","PANTEPEC","GUADALUPE","PU.PA.GG"
"11","PUEBLA","XICOTEPEC","LAS MARIMBAS","PU.XI.LS"
"12","PUEBLA","XICOTEPEC","LOS MANANTIALES","PU.XI.LM"
"13","PUEBLA","XICOTEPEC","LA RIVERA","PU.XI.LR"
"14","PUEBLA","XICOTEPEC","LAS FLORES","PU.XI.LF"
"15","PUEBLA","XICOTEPEC","ESMERALDA","PU.XI.ES"
"16","PUEBLA","XICOTEPEC","LA ESPERANZA","PU.XI.LE"
"17","PUEBLA","XICOTEPEC","BUENAVISTA","PU.XI.BU"
"18","PUEBLA","XICOTEPEC","MANANTIALES","PU.XI.MM"
"19","PUEBLA","PANTEPEC","EL TABLON","PU.PA.ET"
"20","PUEBLA","XICOTEPEC","VISTA HERMOSA","PU.XI.VV"
"21","PUEBLA","XICOTEPEC","EL MIRADOR","PU.XI.EM"
"22","PUEBLA","XICOTEPEC","RINCON DEL BOSQUE","PU.XI.RI"
"23","PUEBLA","XICOTEPEC","LOMAS VERDES","PU.XI.LA"
"24","PUEBLA","XICOTEPEC","MI RANCHITO","PU.XI.MI"
"25","PUEBLA","FRANCISCO Z. MENA","JALTOCAN","PU.FR.JJ"
"26","PUEBLA","PANTEPEC","AGUA LINDA","PU.PA.AA"
"27","PUEBLA","PANTEPEC","EJIDO CERRO DEL TABLON","PU.PA.EE"
"28","PUEBLA","PANTEPEC","EJIDO CAÑADA DE COLOTLA","PU.PA.EJ"
"29","PUEBLA","PANTEPEC","AMELUCA","PU.PA.AM"
"30","PUEBLA","PANTEPEC","EL PACIFICO","PU.PA.EP"
"31","PUEBLA","JALPAN","LA GARZA","PU.JA.LG"
"32","PUEBLA","PANTEPEC","EL COYOL","PU.PA.EC"
"33","PUEBLA","PANTEPEC","GRANDE","PU.PA.GR"
"34","PUEBLA","PANTEPEC","CHICO","PU.PA.CC"
"35","PUEBLA","PANTEPEC","SANTA CRUZ","PU.PA.SC"
"36","PUEBLA","PANTEPEC","DOS ARROYOS","PU.PA.DD"
"37","PUEBLA","XICOTEPEC","EL PORVENIR","PU.XI.EP"
"38","PUEBLA","XICOTEPEC","SAN PEDRO ITZTLA","PU.XI.SP"
"39","PUEBLA","XICOTEPEC","EJIDO DE RANCHO NUEVO","PU.XI.EJ"
"40","PUEBLA","XICOTEPEC","LOS ARROYOS","PU.XI.LY"
"41","PUEBLA","XICOTEPEC","EL SAUCE CHICO","PU.XI.EA"
"42","PUEBLA","XICOTEPEC","EL SAUCE GRANDE","PU.XI.EU"
"43","PUEBLA","XICOTEPEC","CILIMA","PU.XI.CI"
"44","PUEBLA","XICOTEPEC","LA HERRADURA","PU.XI.LH"
"45","PUEBLA","VENUSTIANO CARRANZA","AGUA FRIA","PU.VE.AA"
"46","PUEBLA","XICOTEPEC","LA GALVIA","PU.XI.LG"
"47","PUEBLA","VENUSTIANO CARRANZA","VENUSTIANO CARRANZA","PU.VE.VV"
"48","PUEBLA","XICOTEPEC","EL TEPETATE","PU.XI.ET"
"49","PUEBLA","XICOTEPEC","SAN MARCOS","PU.XI.SM"
"50","PUEBLA","XICOTEPEC","VILLA AVILA CAMACHO","PU.XI.VI"
"51","PUEBLA","XICOTEPEC","REUBICACION 2000","PU.XI.RE"
"52","PUEBLA","XICOTEPEC","LA LOMA","PU.XI.LB"
"53","PUEBLA","XICOTEPEC","4 DE OCTUBRE","PU.XI.4D"
"54","PUEBLA","XICOTEPEC","GRAN CANAL","PU.XI.GR"
"55","PUEBLA","XICOTEPEC","SAN JUAN","PU.XI.SJ"
"56","PUEBLA","XICOTEPEC","SANTA RITA","PU.XI.SR"
"57","PUEBLA","XICOTEPEC","LOS CEDROS","PU.XI.LC"
"58","PUEBLA","VENUSTIANO CARRANZA","LA GUADALUPE","PU.VE.LG"
"59","PUEBLA","XICOTEPEC","BUENA VISTA","PU.XI.BE"
"60","PUEBLA","XICOTEPEC","LOS MANGUITOS","PU.XI.LN"
"61","PUEBLA","XICOTEPEC","EL SALTO O TEPEYAC","PU.XI.EL"
"62","PUEBLA","XICOTEPEC","EL MAMEY","PU.XI.EY"
"63","PUEBLA","XICOTEPEC","MECATLAN DE LAS FLORES","PU.XI.ME"
"64","PUEBLA","XICOTEPEC","SAN JOSE","PU.XI.SO"
