"CollectionsMercadoPago","CollectionsPayPal","CollectionsBankTransfers","CollectionsBankTransfersB2B","Accountspayable(PROS","Accountspayable(PROSB2B","Accountspayable","Salaries","Socialsecurityandtaxes","Rent","Feesandaccruedexpenses","GA,traveling,othersalescosts","Inventory","MktEmailmkt","V15","Fundsavailable","Transfers","Closingbalance","date"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11851.08,NA,11851.08,2020-01-01
NA,NA,NA,NA,-9560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2291.07,NA,2291.07,2020-01-02
NA,NA,19369,NA,-26023,NA,NA,-85733,-721,NA,NA,NA,NA,NA,NA,-90817.11,405691,314873.89,2020-01-03
NA,NA,450,NA,-52171,NA,-918,-2125,NA,NA,NA,NA,NA,NA,NA,260110.87,NA,260110.87,2020-01-04
NA,1500,200,NA,-18600,NA,-1406,NA,NA,NA,-51,NA,NA,NA,NA,241753.27,NA,241753.27,2020-01-05
NA,NA,3046,NA,-2315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242484.23,NA,242484.23,2020-01-06
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242484.23,NA,242484.23,2020-01-07
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242484.23,NA,242484.23,2020-01-08
NA,NA,NA,NA,-12575,NA,NA,NA,NA,-23751,NA,NA,NA,NA,NA,206158.73,NA,206158.73,2020-01-09
68000,NA,1197,NA,-15521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259834.73,NA,259834.73,2020-01-10
NA,NA,-199,NA,-65409,NA,NA,-86473,NA,NA,NA,NA,NA,NA,NA,107754.33,NA,107754.33,2020-01-11
NA,NA,20111,NA,-15671,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,112123.03,NA,112123.03,2020-01-12
NA,NA,11220,NA,-3930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119413.04,NA,119413.04,2020-01-13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119413.04,NA,119413.04,2020-01-14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119413.04,NA,119413.04,2020-01-15
NA,NA,450,NA,-44183,NA,-5518,NA,NA,NA,NA,NA,NA,NA,NA,70162.82,NA,70162.82,2020-01-16
15000,NA,NA,NA,-4504,NA,NA,NA,NA,NA,-12296,NA,NA,NA,NA,68363.32,NA,68363.32,2020-01-17
NA,NA,NA,NA,-61279,NA,-173,NA,NA,NA,NA,NA,NA,NA,NA,6911.15,NA,6911.15,2020-01-18
NA,NA,10511,NA,-3931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13491.15,NA,13491.15,2020-01-19
NA,17500,17262,NA,-10887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37365.96,NA,37365.96,2020-01-20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37365.96,NA,37365.96,2020-01-21
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37365.96,NA,37365.96,2020-01-22
NA,NA,-303,NA,-3366,NA,-1800,NA,NA,NA,NA,NA,NA,NA,NA,31897.3,NA,31897.3,2020-01-23
NA,NA,6844,NA,-5875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32866.3,NA,32866.3,2020-01-24
NA,NA,16983,NA,-41460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8389.62,NA,8389.62,2020-01-25
NA,45000,99,NA,-5104,NA,-285,NA,NA,NA,NA,NA,NA,NA,NA,48099.14,NA,48099.14,2020-01-26
NA,NA,3322,NA,-4465,NA,-159,NA,NA,NA,NA,NA,NA,NA,NA,46797.42,NA,46797.42,2020-01-27
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46797.42,NA,46797.42,2020-01-28
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46797.42,NA,46797.42,2020-01-29
NA,NA,45626,NA,-15568,NA,-3622,NA,NA,NA,NA,NA,NA,NA,NA,73233.83,NA,73233.83,2020-01-30
NA,NA,11216,NA,-22037,NA,-302,-86191,-722,NA,NA,NA,NA,NA,NA,-24802.95,343411.05,318608.1,2020-01-31
NA,NA,5834,NA,-82532,NA,NA,NA,NA,NA,NA,NA,NA,-6000,NA,235909.62,NA,235909.62,2020-02-01
NA,NA,73327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309236.62,NA,309236.62,2020-02-02
NA,NA,40145,NA,-90431,NA,NA,-200,NA,NA,NA,NA,NA,NA,NA,258750.28,NA,258750.28,2020-02-03
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258750.28,NA,258750.28,2020-02-04
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258750.28,NA,258750.28,2020-02-05
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258750.28,NA,258750.28,2020-02-06
25000,NA,19784,NA,NA,NA,-451,NA,-568,NA,NA,NA,NA,NA,NA,302515.71,NA,302515.71,2020-02-07
NA,NA,2948,NA,-78567,NA,-297,NA,NA,NA,-6960,NA,NA,-3976,NA,215662.94,NA,215662.94,2020-02-08
NA,5000,199,NA,-13731,NA,-954,NA,NA,NA,NA,NA,NA,NA,NA,206176.96,NA,206176.96,2020-02-09
NA,NA,299,NA,-8937,NA,-90,-104670,NA,NA,NA,NA,NA,NA,NA,92779.2,NA,92779.2,2020-02-10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92779.2,NA,92779.2,2020-02-11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92779.2,NA,92779.2,2020-02-12
NA,NA,2613,NA,-4116,NA,-125,NA,NA,-23751,NA,NA,NA,NA,NA,67400.39,NA,67400.39,2020-02-13
