"","Estado","Municipio","Colonia","filteredColonia","firstName","secName","region"
"1","Puebla","Puebla","San Francisco","SANFRANCISCO","SAN","FRANCISCO","PU.PU"
"2","Puebla","Puebla","Centro","CENTRO","CEN","CENTRO","PU.PU"
"3","Puebla","Puebla","Santa María la Rivera","SANTAMARIALARIVERA","SAN","MARIALARIVERA","PU.PU"
"4","Puebla","Puebla","INFONAVIT Bosques 5 de Febrero","INFONAVITBOSQUESDEFEBRERO","INF","INFONAVITBOSQUESDEFEBRERO","PU.PU"
"5","Puebla","Puebla","Residencial Santa María","RESIDENCIALSANTAMARIA","RES","RESIDENCIALSANTAMARIA","PU.PU"
"6","Puebla","Puebla","Las Huertas","LASHUERTAS","LAS","SHUERTAS","PU.PU"
"7","Puebla","Puebla","Santa Bárbara","SANTABARBARA","SAN","BARBARA","PU.PU"
"8","Puebla","Puebla","San José los Cerritos","SANJOSELOSCERRITOS","SAN","JOSELOSCERRITOS","PU.PU"
"9","Puebla","Puebla","La Condesa","LACONDESA","LAC","CONDESA","PU.PU"
"10","Puebla","Puebla","El Conde II","ELCONDEII","ELC","CONDEII","PU.PU"
"11","Puebla","Puebla","Polideportivo","POLIDEPORTIVO","POL","POLIDEPORTIVO","PU.PU"
"12","Puebla","Puebla","Miravalle","MIRAVALLE","MIR","MIRAVALLE","PU.PU"
"13","Puebla","Puebla","Benito Juárez","BENITOJUAREZ","BEN","BENITOJUAREZ","PU.PU"
"14","Puebla","Puebla","INFONAVIT Fidel Velázquez","INFONAVITFIDELVELAZQUEZ","INF","INFONAVITFIDELVELAZQUEZ","PU.PU"
"15","Puebla","Puebla","Nueva 13 de Abril","NUEVADEABRIL","NUE","NUEVADEABRIL","PU.PU"
"16","Puebla","Puebla","El Conde","ELCONDE","ELC","CONDE","PU.PU"
"17","Puebla","Puebla","Rosas del Tepeyac","ROSASDELTEPEYAC","ROS","ROSASDELTEPEYAC","PU.PU"
