"","Estado","Municipio","Colonia","ids"
"1","Puebla","Puebla","San Francisco","PU.PU.SF"
"2","Puebla","Puebla","Centro","PU.PU.CC"
"3","Puebla","Puebla","Santa María la Rivera","PU.PU.SR"
"4","Puebla","Puebla","INFONAVIT Bosques 5 de Febrero","PU.PU.IF"
"5","Puebla","Puebla","Residencial Santa María","PU.PU.RM"
"6","Puebla","Puebla","Las Huertas","PU.PU.LH"
"7","Puebla","Puebla","Santa Bárbara","PU.PU.SB"
"8","Puebla","Puebla","San José los Cerritos","PU.PU.SC"
"9","Puebla","Puebla","La Condesa","PU.PU.LC"
"10","Puebla","Puebla","El Conde II","PU.PU.EI"
"11","Puebla","Puebla","Polideportivo","PU.PU.PP"
"12","Puebla","Puebla","Miravalle","PU.PU.MM"
"13","Puebla","Puebla","Benito Juárez","PU.PU.BJ"
"14","Puebla","Puebla","INFONAVIT Fidel Velázquez","PU.PU.IV"
"15","Puebla","Puebla","Nueva 13 de Abril","PU.PU.NA"
"16","Puebla","Puebla","El Conde","PU.PU.EC"
"17","Puebla","Puebla","Rosas del Tepeyac","PU.PU.RT"
"18","Puebla","Puebla","San Pablo Xochimehuacan","PU.PU.SX"
"19","Puebla","Puebla","Barranca Honda","PU.PU.BH"
"20","Puebla","Puebla","Ignacio Mariscal","PU.PU.IM"
"21","Puebla","Puebla","Guadalupe del Oro","PU.PU.GO"
"22","Puebla","Puebla","La Candelaria","PU.PU.LC"
"23","Puebla","Puebla","Real de Guadalupe","PU.PU.RG"
"24","Puebla","Puebla","Nuevo Paraíso","PU.PU.NP"
"25","Puebla","Puebla","Villas de Marques","PU.PU.VM"
"26","Puebla","Puebla","INFONAVIT Villa Frontera","PU.PU.IF"
"27","Puebla","Puebla","Villa Margarita Garcia","PU.PU.VG"
"28","Puebla","Puebla","Guadalupe del Conde","PU.PU.GC"
"29","Puebla","Puebla","Rancho Guadalupe","PU.PU.RG"
"30","Puebla","Puebla","Villas San Gregorio","PU.PU.VG"
"31","Puebla","Puebla","Seda Monsanto","PU.PU.SM"
"32","Puebla","Puebla","San José el Conde","PU.PU.SC"
"33","Puebla","Puebla","Villa Guadalupe","PU.PU.VG"
"34","Puebla","Puebla","Solidaridad Nacional","PU.PU.SN"
"35","Puebla","Puebla","Monte Alban","PU.PU.MA"
"36","Puebla","Puebla","Jorge Murad Macluf","PU.PU.JM"
"37","Puebla","Puebla","Emperatriz","PU.PU.EE"
"38","Puebla","Puebla","Nueva España","PU.PU.NE"
"39","Puebla","Puebla","Villas San José","PU.PU.VJ"
"40","Puebla","Puebla","Las Sonatas","PU.PU.LS"
"41","Puebla","Puebla","Venustiano Carranza","PU.PU.VC"
"42","Puebla","Puebla","Villas Diamante","PU.PU.VD"
"43","Puebla","Puebla","Nueva San Salvador","PU.PU.NS"
"44","Puebla","Puebla","México 83","PU.PU.M8"
"45","Puebla","Puebla","Parque Industrial 5 de Mayo","PU.PU.PM"
"46","Puebla","Puebla","Central de Abastos","PU.PU.CA"
"47","Puebla","Puebla","San José Cuatro Caminos","PU.PU.SC"
"48","Puebla","Puebla","San Rafael Oriente","PU.PU.SO"
"49","Puebla","Puebla","San Jerónimo","PU.PU.SJ"
"50","Puebla","Puebla","Villas del Mesón I","PU.PU.VI"
"51","Puebla","Puebla","Pino Suárez","PU.PU.PS"
"52","Puebla","Puebla","Villas del Mesón II","PU.PU.VI"
"53","Puebla","Puebla","Francisco Villa","PU.PU.FV"
"54","Puebla","Puebla","El Riego Sur","PU.PU.ES"
"55","Puebla","Puebla","Zona Cementos Atoyac","PU.PU.ZA"
"56","Puebla","Puebla","San Rafael Poniente","PU.PU.SP"
